Sgnyea,Prvcnm_id,a0101,a0102,a0103,a0104,a0105,a0106,a0107,a0108,a0109,a0110,a0111,a0112,a0113,a0114,a0115
年度标识,区块编号,AQI,PM2.5,PM_2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
140601,1223A,50.153846,34.923077,33,49.307692,67,3.076923,19,26.230769,33,42.551724,113,79,100,0.877731,0.883
140601,1224A,25,17,23,19,39,2,4,26,25,37,101,66,98,0.937,0.907
140601,1225A,24,4,18,8,31,4,5,47,45,44,81,57,73,0.381,0.373
140601,1226A,36,25,28,29,44,30,31,36,31,54,113,76,105,0.483,0.456
140601,1227A,30,21,23,24,40,4,6,23,21,32,107,53,97,0.881,0.882
140601,1228A,32,22,22,26,56,5,22,18,27,51,86,44,69,0.933,0.607
140601,1229A,40.769231,28.384615,27,31.615385,47,5.269231,17,32.307692,37,45.5,106,76,100,0.7685,0.725
140601,1230A,35,24,27,30,54,6,17,38,44,73,100,80,94,0.836,0.813
140601,1231A,53,37,38,38.666667,52,11,23,59,47,25,98,53,90,0.549,0.516
140601,1232A,19,12,29,27.076923,55,2,38,6,25,59,91,69,82,0.618,0.686
140601,1233A,44,22,24,44,69,5,8,40,36,9,84,40,73,0.818,0.782
140602,1223A,72,52,35,82,73,4,4,64,47,2,66,9,69,1.24,1.031
140602,1224A,54,26,22,58,39,3,3,44,36,11,49,15,60,1.153,1.001
140602,1225A,35,24,15,19,20,4,4,44,44,57,100,68,73,0.38,0.421
140602,1226A,87,64,37,77,73,3,18,68,49,30,81,28,71,0.947,0.63
140602,1227A,31,15,20,31,35,4,4,16,23,15,37,10,45,0.925,0.945
140602,1228A,60,43,32,70,54,4,6,56,42,2,34,3,36,1.036,0.858
140602,1229A,32,19.222222,19,24,51,2,4,64,59,2,50,5,68,1.231,1.002
140602,1230A,68,40,32,85,78,4,7,58,60,20,70,31,76,1.183,1.047
140602,1231A,73,81.333333,40,95,67,6,10,90,60,2,58,9,46,1.174,0.722
140602,1232A,72,52,28,73,68,5,4,55,37,2,67,7,65,1.185,0.972
140602,1233A,54,15,20,57,52,4,6,15,28,18,32,15,34,0.902,0.917
140603,1223A,52,33,37,53,66,2,2,12,18,107,171,114,152,0.674,0.826
140603,1224A,48,33,34,41,49,3,3,12,16,98,137,113,132,0.595,0.754
140603,1225A,40,28,24,32,38,5,4,27,32,118,159,136,145,0.288,0.341
140603,1226A,53,37,47,83.571429,69,8,5,14,18,94,161,108,148,0.38,0.617
140603,1227A,59,42,37,43,47,4,5,11,9,82,141,101,128,0.734,0.889
140603,1228A,44,30,38,44,61,5,4,8,16,2,89,3,75,0.457,0.624
140603,1229A,39,43.090909,34,39,39,2,2,12,23,104,147,108,137,0.555,0.784
140603,1230A,50,35,41,41,58,4,6,22,24,96,133,107,128,0.708,0.899
140603,1231A,40,28,42,36,62,8,9,14,22,92,128,94,123,0.339,0.487
140603,1232A,47,27,38,47,66,3,2,2,10,99,153,102,136,0.507,0.756
140603,1233A,45,27,26,45,46,5,5,15,12,74,126,91,115,0.617,0.769
140604,1223A,70,51,44,69,78,5,6,24,24,121,164,143,152,0.821,0.797
140604,1224A,70,51,43,67,69,3,6,30,21,41,155,111,143,1.043,0.875
140604,1225A,68,49,37,62,53,7,6,31,30,109,159,133,153,0.444,0.352
140604,1226A,83,61,47,85,76,11,11,36,22,99,156,126,141,0.545,0.577
140604,1227A,64,46,41,61,61,6,7,12,13,94,140,108,124,0.83,0.831
140604,1228A,70,51,43,76,69,7,6,26,19,2,92,16,44,0.68,0.612
140604,1229A,79,58,78,77,55,5,5,44,25,93,159,128,141,0.766,0.704
140604,1230A,79,58,47,86,67,7,10,44,29,96,150,123,137,1.093,0.942
140604,1231A,79,58,41,76,64,16,15,30,26,104,143,121,129,0.707,0.595
140604,1232A,67,45,40,84,76,7,8,16,17,109,142,120,127,0.701,0.655
140604,1233A,54,34,34,58,64,4,8,44,26,30,127,92,116,0.796,0.771
140605,1223A,110,83,68,139,122,11,25,65,46,99,211,154,182,0.902,0.82
140605,1224A,103,77,62,112,102,3,7,43,37,14,178,110,166,1.135,0.91
140605,1225A,64,46,47,71,71,7,7,36,30,90,171,120,161,0.372,0.388
140605,1226A,125,102.8,71,199,114,82,19,92,42,64,179,119,173,0.839,0.735
140605,1227A,92,68,54,109,87,6,16,14,11,107,161,130,151,0.718,0.815
140605,1228A,124,94,56,160,109,13,9,76,30,33,131,37,67,1.222,0.804
140605,1229A,130,99,68,143,104,10,8,57,41,114,182,155,171,1.037,0.863
140605,1230A,144,110,73,179,117,12,14,102,46,64,158,129,148,1.505,1.164
140605,1231A,162,123,78,151,107,36,23,49,39,102,166,131,156,1.074,0.805
140605,1232A,113,84,65,176,125,16,15,64,33,74,163,121,155,1.154,0.863
140605,1233A,77,56,45,88,86,4,8,49,34,44,145,81,135,0.79,0.789
140606,1223A,110,83,93,113,142,22,17,53,54,3,247,117,196,0.938,0.97
140606,1224A,123,93,84,154,133,4,9,54,52,74,275,146,232,1.105,1.09
140606,1225A,75,55,49,84,77,7,8,34,26,101,197,140,186,0.483,0.445
140606,1226A,75,55,92,62,145,15,44,44,53,84,266,158,224,0.456,0.764
140606,1227A,117,88,77,108,119,5,11,29,21,53,212,116,191,0.86,0.904
140606,1228A,77,56,82,82,154,15,15,40,48,16,183,54,145,0.67,1.015
