id,x,y
BEJ,-542.16,411.01
TAJ,-582.57,430.63
HEB,54.285,-8.9127
SHX,-57.559,44.115
ZH,3670.3,310.5
NMG,-189.9,25.815
LIA,-106.92,608.58
JIL,-83.094,25.753
HLJ,-157.86,246.2
SHH,-792.24,1209.4
JSU,77.143,-37.625
ZHJ,-5.6686,-115.2
ANH,-2.2059,-164.98
FUJ,-61.813,-136.23
JXI,-64.374,-209.34
SHD,27.432,-130.8
HEN,-21.219,-173.38
HUB,27.896,-103.91
HUN,18.446,-122.13
GUD,44.099,-59.954
GXI,-104.72,-259.88
SCH,-343.77,-761.75
GUI,-100.18,-245.63
YUN,-77.583,-213.58
SHA,-11.659,-108.62
GAN,-40.89,-163.02
QIH,-171.11,-61.754
NXA,-190.63,-220.09
XIN,-211.43,-15.182
